TT,Danh_Gia,Chat_Luong_Tai_Xe,Thoi_Gian_vs_Du_Kien
211,satisfied,5,-11.5625
212,satisfied,3,-10.15625
213,satisfied,1,-11.40625
214,satisfied,1,-11.5625
215,satisfied,1,-11.875
216,satisfied,1,-11.5625
217,satisfied,1,-11.5625
218,satisfied,1,-11.5625
219,satisfied,3,-11.5625
220,satisfied,1,-11.5625
221,satisfied,3,-11.5625
222,satisfied,1,-11.71875
223,satisfied,1,-11.5625
224,satisfied,1,-11.5625
225,satisfied,1,-12.1875
226,satisfied,3,-1.71875
227,satisfied,1,-11.5625
228,satisfied,1,-11.5625
229,satisfied,1,-12.5
230,satisfied,1,-11.5625
231,satisfied,1,-11.5625
232,satisfied,3,-11.5625
233,satisfied,7,-13.75
234,satisfied,1,-12.65625
235,satisfied,1,-11.25
236,satisfied,3,-11.5625
237,satisfied,1,-11.5625
238,satisfied,1,-10.78125
239,satisfied,3,-11.5625
240,satisfied,1,-11.5625
241,satisfied,1,-11.5625
242,satisfied,3,-11.5625
243,satisfied,2,-12.03125
244,satisfied,1,-11.5625
245,satisfied,1,-11.40625
246,satisfied,1,
247,satisfied,1,-11.5625
248,satisfied,1,-11.25
249,satisfied,1,-11.5625
250,satisfied,1,-11.71875
251,satisfied,1,-11.5625
252,satisfied,1,-11.25
253,satisfied,1,-11.09375
254,satisfied,1,-11.5625
255,satisfied,1,-11.5625
256,satisfied,5,-11.40625
257,satisfied,1,-13.75
258,satisfied,1,-12.5
259,satisfied,7,-11.5625
260,satisfied,1,-12.34375
261,satisfied,7,-11.5625
262,satisfied,1,-13.4375
263,satisfied,5,-11.5625
264,satisfied,1,-11.5625
265,satisfied,1,-12.8125
266,satisfied,1,-15.15625
267,satisfied,5,-11.5625
268,satisfied,1,-11.09375
269,satisfied,4,-11.40625
270,satisfied,1,-9.0625
271,satisfied,7,-11.40625
272,satisfied,1,-11.5625
273,satisfied,1,-12.5
274,satisfied,1,-11.5625
275,satisfied,1,-12.34375
276,satisfied,1,-11.5625
277,satisfied,1,-11.5625
278,satisfied,1,-12.03125
279,satisfied,1,-11.5625
280,satisfied,5,-11.5625
281,satisfied,4,-11.71875
282,satisfied,1,-11.5625
283,satisfied,1,-11.875
284,satisfied,1,-11.5625
285,satisfied,1,-10.9375
286,satisfied,5,-11.5625
287,satisfied,6,-11.5625
288,satisfied,1,1.5625
289,satisfied,1,-11.5625
290,satisfied,7,-11.5625
291,satisfied,1,-11.5625
292,satisfied,1,-12.1875
293,satisfied,1,-12.65625
294,satisfied,1,-11.5625
295,satisfied,1,-11.5625
296,satisfied,3,-11.5625
297,satisfied,1,-11.5625
298,satisfied,6,-11.5625
299,satisfied,1,-11.5625
300,satisfied,1,-11.40625
301,satisfied,5,-11.40625
302,satisfied,3,-11.5625
303,satisfied,6,-11.5625
304,satisfied,1,-12.5
305,satisfied,1,-11.5625
306,satisfied,4,-11.25
307,satisfied,1,-12.5
308,satisfied,4,-11.5625
309,satisfied,1,-13.28125
310,satisfied,1,-11.5625
311,satisfied,1,-11.09375
312,satisfied,1,-11.5625
313,satisfied,1,-11.875
314,satisfied,1,-11.5625
315,satisfied,1,-11.5625
316,satisfied,1,-12.34375
317,satisfied,1,-13.4375
318,satisfied,1,-11.5625
319,satisfied,1,-10.9375
320,satisfied,4,-11.5625
321,satisfied,1,-11.5625
322,satisfied,1,-11.5625
323,satisfied,1,-11.40625
324,satisfied,1,-11.5625
325,satisfied,5,-9.53125
326,satisfied,1,-11.875
327,satisfied,7,-11.5625
328,satisfied,4,-11.5625
329,satisfied,1,-11.5625
330,satisfied,1,-11.71875
331,satisfied,6,-11.5625
332,satisfied,1,-10.46875
333,satisfied,1,-11.5625
334,satisfied,1,-11.5625
335,satisfied,2,-11.5625
336,satisfied,1,-11.5625
337,satisfied,5,-11.71875
338,satisfied,7,-12.1875
339,satisfied,1,-11.5625
340,satisfied,1,-11.5625
341,satisfied,1,-11.5625
342,satisfied,5,-11.5625
343,satisfied,1,-11.5625
344,satisfied,1,-12.1875
345,satisfied,1,-11.5625
